Customer Id,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Cluster,Segment,Churned,Tenure
1,792,1,499.9500122,6.675823221634848,0.6931471805599453,6.216506320059,3,At Risk / Churned,1,0
2,136,4,1819.73003386,4.919980925828125,1.6094379124341005,7.506992817150215,0,Loyal / High-Value,0,768
3,229,5,3537.68009381,5.438079308923196,1.791759469228055,8.171509081744233,0,Loyal / High-Value,0,551
4,380,4,1719.63002967,5.942799375126701,1.6094379124341005,7.450445799057147,3,At Risk / Churned,1,615
5,457,3,1274.75002288,6.126869184114185,1.3862943611198906,7.151289537878629,3,At Risk / Churned,1,136
6,646,4,3259.51002486,6.472346294500901,1.6094379124341005,8.08963891146739,3,At Risk / Churned,1,370
7,220,7,5569.48010644,5.3981627015177525,2.079441541679836,8.625236524258815,0,Loyal / High-Value,0,761
8,126,8,3763.5000419,4.844187086458591,2.19722457733622,8.233370340420473,0,Loyal / High-Value,0,887
9,140,5,3229.68005555,4.948759890378168,1.791759469228055,8.08044793756946,0,Loyal / High-Value,0,799
10,307,2,1264.79001226,5.730099782973574,1.0986122886681098,7.143451721853447,3,At Risk / Churned,0,159
11,371,4,2429.6500397600003,5.918893854273146,1.6094379124341005,7.795914006635298,3,At Risk / Churned,1,583
12,255,8,6009.3501015,5.545177444479562,2.19722457733622,8.701238278994001,0,Loyal / High-Value,0,858
13,193,4,3185.62006955,5.267858159063328,1.6094379124341005,8.066716094744276,0,Loyal / High-Value,0,902
14,158,7,2414.72003184,5.068904202220232,2.079441541679836,7.789752671479072,0,Loyal / High-Value,0,830
15,420,1,239.98000718,6.042632833682381,0.6931471805599453,5.484713972290134,3,At Risk / Churned,1,0
16,123,6,2349.77002714,4.820281565605037,1.9459101490553128,7.762498224589151,0,Loyal / High-Value,0,1000
17,284,5,4259.6601105,5.652489180268651,1.791759469228055,8.357179382775483,0,Loyal / High-Value,0,831
18,405,6,3519.6000672,6.0063531596017325,1.9459101490553128,8.166386727699527,0,Loyal / High-Value,1,666
19,464,8,4355.62007918,6.142037405587356,2.19722457733622,8.379451824514254,0,Loyal / High-Value,1,647
20,291,4,1589.77005,5.676753802268282,1.6094379124341005,7.371973486151025,3,At Risk / Churned,0,761
21,295,4,2836.69007108,5.69035945432406,1.6094379124341005,7.95074564494888,0,Loyal / High-Value,0,588
22,387,5,2744.6800461,5.961005339623274,1.791759469228055,7.917784063188303,0,Loyal / High-Value,1,710
23,501,6,4141.38005816,6.218600119691729,1.9459101490553128,8.32902579490689,0,Loyal / High-Value,1,529
24,684,4,2769.47002792,6.529418838262226,1.6094379124341005,7.926772269956159,3,At Risk / Churned,1,410
25,641,2,929.8700104,6.464588303689961,1.0986122886681098,6.836119643898276,3,At Risk / Churned,1,451
26,190,5,3209.80008706,5.25227342804663,1.791759469228055,8.07427543337216,0,Loyal / High-Value,0,619
27,301,4,2065.66000368,5.71042701737487,1.6094379124341005,7.633689058334069,0,Loyal / High-Value,0,593
28,296,4,2159.76002128,5.6937321388027,1.6094379124341005,7.678215300493102,0,Loyal / High-Value,0,388
29,354,2,1329.8700409,5.872117789475416,1.0986122886681098,7.193588173432656,3,At Risk / Churned,1,275
30,580,2,1105.89002425,6.364750756851911,1.0986122886681098,7.009309582019229,3,At Risk / Churned,1,227
31,527,6,3774.55005634,6.269096283706261,1.9459101490553128,8.236301361357153,0,Loyal / High-Value,1,504
32,326,5,3409.51004217,5.7899601708972535,1.791759469228055,8.134617131576585,0,Loyal / High-Value,1,796
33,779,2,1229.87003708,6.659293919683638,1.0986122886681098,7.11547654553384,3,At Risk / Churned,1,322
34,132,7,2989.68006526,4.890349128221754,2.079441541679836,8.003256087097933,0,Loyal / High-Value,0,971
35,402,4,2313.82004548,5.998936561946683,1.6094379124341005,7.747087229364971,3,At Risk / Churned,1,592
36,167,2,1389.8800507,5.123963979403259,1.0986122886681098,7.237691955782497,3,At Risk / Churned,0,894
37,176,3,1329.76002124,5.176149732573829,1.3862943611198906,7.193505502544896,3,At Risk / Churned,0,922
38,332,6,2649.74005516,5.808142489980444,1.9459101490553128,7.882594146090863,0,Loyal / High-Value,1,668
39,234,5,2934.70006185,5.459585514144159,1.791759469228055,7.984701225745407,0,Loyal / High-Value,0,625
40,151,7,5253.62011732,5.0238805208462765,2.079441541679836,8.566862990939695,0,Loyal / High-Value,0,653
41,136,4,2931.65006833,4.919980925828125,1.6094379124341005,7.983661753414355,0,Loyal / High-Value,0,633
42,247,7,3289.6600418,5.513428746164983,2.079441541679836,8.098843444245697,0,Loyal / High-Value,0,782
43,215,2,1159.8300247,5.375278407684165,1.0986122886681098,7.056890566759248,3,At Risk / Churned,0,498
44,322,6,2989.740078,5.777652323222656,1.9459101490553128,8.003276153483027,0,Loyal / High-Value,1,710
45,217,5,3329.7400742,5.384495062789089,1.791759469228055,8.110949802786342,0,Loyal / High-Value,0,905
46,352,5,3887.62009048,5.8664680569332965,1.791759469228055,8.265809641155606,0,Loyal / High-Value,1,614
47,621,1,679.9600067,6.432940092739179,0.6931471805599453,6.523503577112221,3,At Risk / Churned,1,0
48,171,4,3509.6200561,5.147494476813453,1.6094379124341005,8.163547955017947,0,Loyal / High-Value,0,942
49,628,3,1359.78001404,6.444131256700441,1.3862943611198906,7.215813354054338,3,At Risk / Churned,1,267
50,250,4,2009.65002061,5.525452939131784,1.6094379124341005,7.606213342111075,0,Loyal / High-Value,0,792
51,268,7,4513.43006532,5.594711379601839,2.079441541679836,8.415034226503389,0,Loyal / High-Value,0,833
52,137,4,2119.77005,4.927253685157205,1.6094379124341005,7.659534532845676,0,Loyal / High-Value,0,895
53,476,6,4689.48011408,6.1675164908883415,1.9459101490553128,8.453290225940773,0,Loyal / High-Value,1,456
54,156,5,3109.68006908,5.056245805348308,1.791759469228055,8.042596652998006,0,Loyal / High-Value,0,952
55,129,6,4763.40007784,4.867534450455582,1.9459101490553128,8.468926906344585,0,Loyal / High-Value,0,585
56,157,5,2529.7000656,5.062595033026967,1.791759469228055,7.836251249216335,0,Loyal / High-Value,0,579
57,456,5,2159.70003898,6.124683390894205,1.791759469228055,7.678187540292074,0,Loyal / High-Value,1,378
58,209,8,6615.16012588,5.3471075307174685,2.19722457733622,8.797270439234103,0,Loyal / High-Value,0,915
59,386,6,1869.75003816,5.958424693029782,1.9459101490553128,7.534094719358704,0,Loyal / High-Value,1,303
60,425,3,1859.57000352,6.054439346269371,1.3862943611198906,7.528638173265339,3,At Risk / Churned,1,648
61,598,3,1714.7500457800002,6.395261598115449,1.3862943611198906,7.447605608470953,3,At Risk / Churned,1,460
62,312,4,1749.83004386,5.746203190540153,1.6094379124341005,7.467845265244902,3,At Risk / Churned,1,745
63,148,4,1829.79003904,5.003946305945459,1.6094379124341005,7.512502867995623,0,Loyal / High-Value,0,839
64,620,3,1404.8700409,6.431331081933479,1.3862943611198906,7.24841163630621,3,At Risk / Churned,1,497
65,194,6,3975.62008294,5.272999558563747,1.9459101490553128,8.288187512090362,0,Loyal / High-Value,0,697
66,490,5,3809.54009254,6.19644412779452,1.791759469228055,8.24552621464641,0,Loyal / High-Value,1,628
67,224,2,1887.7700501,5.41610040220442,1.0986122886681098,7.543681129069983,3,At Risk / Churned,0,527
68,535,3,1609.79002758,6.284134161070802,1.3862943611198906,7.384480037984706,3,At Risk / Churned,1,448
69,137,5,1651.8100358,4.927253685157205,1.791759469228055,7.410232170345972,0,Loyal / High-Value,0,828
70,133,5,3309.49005496,4.897839799950911,1.791759469228055,8.104851510270372,0,Loyal / High-Value,0,895
71,565,7,2987.73005297,6.338594078203183,2.079441541679836,8.002603844712622,0,Loyal / High-Value,1,543
72,191,6,5274.53013244,5.2574953720277815,1.9459101490553128,8.570834452335335,0,Loyal / High-Value,0,847
73,700,4,2719.730053,6.55250788703459,1.6094379124341005,7.908655525114949,3,At Risk / Churned,1,149
74,159,5,3349.56004332,5.075173815233827,1.791759469228055,8.116882787957024,0,Loyal / High-Value,0,935
75,198,4,2549.77004248,5.293304824724492,1.6094379124341005,7.844150570009598,0,Loyal / High-Value,0,882
76,424,5,3329.65005492,6.052089168924417,1.791759469228055,8.110922775610854,0,Loyal / High-Value,1,697
77,221,7,3142.72007947,5.402677381872279,2.079441541679836,8.053162116337948,0,Loyal / High-Value,0,659
78,527,1,309.9600067,6.269096283706261,0.6931471805599453,5.739664308090148,3,At Risk / Churned,1,0
79,364,5,3674.68008812,5.899897353582492,1.791759469228055,8.209493452517655,0,Loyal / High-Value,1,605
80,224,4,2259.7800408,5.41610040220442,1.6094379124341005,7.723465183511958,0,Loyal / High-Value,0,869
81,450,1,431.97001077,6.111467339502679,0.6931471805599453,6.070668466412275,3,At Risk / Churned,1,0
82,415,4,2674.54004105,6.030685260261263,1.6094379124341005,7.891906523458846,3,At Risk / Churned,1,603
83,374,4,2879.60004225,5.926926025970411,1.6094379124341005,7.965753899432033,0,Loyal / High-Value,1,436
84,124,4,2929.74006276,4.8283137373023015,1.6094379124341005,7.983010251264623,0,Loyal / High-Value,0,730
85,400,4,1929.70002758,5.993961427306569,1.6094379124341005,7.565637924726746,3,At Risk / Churned,1,470
86,407,5,1469.87001414,6.0112671744041615,1.791759469228055,7.293609351054544,0,Loyal / High-Value,1,613
87,848,3,2474.69005972,6.744059186311348,1.3862943611198906,7.814274448150027,3,At Risk / Churned,1,253
88,207,5,2499.68004992,5.337538079701318,1.791759469228055,7.824317993833569,0,Loyal / High-Value,0,869
89,532,4,1299.76001356,6.278521424165844,1.6094379124341005,7.170703998437918,3,At Risk / Churned,1,317
90,305,5,3094.81006628,5.723585101952381,1.791759469228055,8.03780488472697,0,Loyal / High-Value,0,748
91,360,4,3343.7300644,5.8888779583328805,1.6094379124341005,8.115141271069877,0,Loyal / High-Value,1,208
92,249,6,2787.5500222,5.521460917862246,1.9459101490553128,7.933277034417142,0,Loyal / High-Value,0,733
93,417,5,2069.84006124,6.035481432524756,1.791759469228055,7.6357096306200285,0,Loyal / High-Value,1,635
94,149,5,2789.59005734,5.010635294096256,1.791759469228055,7.934008342540557,0,Loyal / High-Value,0,519
95,301,7,3282.63007923,5.71042701737487,2.079441541679836,8.096704820874962,0,Loyal / High-Value,0,774
96,132,4,2789.72006998,4.890349128221754,1.6094379124341005,7.934054931114587,0,Loyal / High-Value,0,919
97,247,4,2514.80005276,5.513428746164983,1.6094379124341005,7.830346144376232,0,Loyal / High-Value,0,747
98,158,7,4379.48007564,5.068904202220232,2.079441541679836,8.384913603674661,0,Loyal / High-Value,0,416
99,157,6,2839.70006566,5.062595033026967,1.9459101490553128,7.951805802771584,0,Loyal / High-Value,0,875
100,186,6,4104.57009122,5.231108616854587,1.9459101490553128,8.320099889520465,0,Loyal / High-Value,0,843
101,365,4,2079.79004668,5.902633333401366,1.6094379124341005,7.640502930712774,3,At Risk / Churned,1,267
102,280,4,3319.59004208,5.638354669333745,1.6094379124341005,8.107897769637653,0,Loyal / High-Value,0,682
103,337,4,3179.71007164,5.823045895483019,1.6094379124341005,8.064859743816612,0,Loyal / High-Value,1,778
104,1125,1,599.960022,7.026426808699636,0.6931471805599453,6.398528413187936,3,At Risk / Churned,1,0
105,592,4,1379.92003636,6.385194398997726,1.6094379124341005,7.2305052490246835,3,At Risk / Churned,1,506
106,381,3,1409.8400268,5.945420608606575,1.3862943611198906,7.251940569663425,3,At Risk / Churned,1,722
107,362,4,2009.63005824,5.8944028342648505,1.6094379124341005,7.6062034137451775,3,At Risk / Churned,1,643
108,210,5,2289.70005028,5.351858133476067,1.791759469228055,7.736612748644151,0,Loyal / High-Value,0,728
109,298,7,4259.6100769,5.700443573390687,2.079441541679836,8.357167639549672,0,Loyal / High-Value,0,807
110,349,3,2639.7000427,5.857933154483459,1.3862943611198906,7.878799328679018,3,At Risk / Churned,1,647
111,249,3,1639.78003314,5.521460917862246,1.3862943611198906,7.402927037705581,3,At Risk / Churned,0,290
112,244,7,3184.68007287,5.501258210544727,2.079441541679836,8.06642106887738,0,Loyal / High-Value,0,771
113,188,5,1658.75003056,5.241747015059643,1.791759469228055,7.41442228601168,0,Loyal / High-Value,0,779
114,636,4,2904.73007013,6.456769655572163,1.6094379124341005,7.974439952730615,3,At Risk / Churned,1,277
115,240,1,1079.9200287,5.484796933490655,0.6931471805599453,6.985567835901702,3,At Risk / Churned,0,0
116,915,2,324.9499969,6.82001636467413,1.0986122886681098,5.786743985859888,3,At Risk / Churned,1,125
117,372,2,429.90000918,5.921578419643816,1.0986122886681098,6.065876065926039,3,At Risk / Churned,1,456
118,272,5,2699.51001742,5.60947179518496,1.791759469228055,7.901195929494682,0,Loyal / High-Value,0,824
119,741,7,3439.7400743,6.60934924316738,2.079441541679836,8.143441865106515,0,Loyal / High-Value,1,336
120,368,4,2079.58004768,5.910796644040527,1.6094379124341005,7.640402002895533,3,At Risk / Churned,1,312
121,572,2,809.85001758,6.35088571671474,1.0986122886681098,6.698083101846335,3,At Risk / Churned,1,546
